PersonID	NameStand	Names	Roles	RoleType
44	Tadhg MacCarthy Mor	Tatheus MacCarthy; Taig MacCarthy; Tadhg MacCarthy	Prince of the Irish of Desmond	Submitter
45	John Golafre	John Golafre	Knight	Witness
46	Niall Og O'Neill	Nellanus iuvenis O Nel; Niall ”g O'Neill	Captain of his nation	Submitter
47	Thomas O'Locheran	Thomas O'Locheran		Interpreter
48	"John, Archbishop of Armagh"	John; [John Colton]	Archbishop of Armagh; Primate of all Ireland	Witness
49	Maurice Magennis	Maurice Magennis; Muirchertach Magennis	Lord of Iveagh	Submitter
50	Stephen Garnon	Stephen Garnon		Interpreter
51	Niall O'Hanlon	Neel O'Hanloyn; Niall O'Hanlon		Submitter
52	Adam Tobyn	"Adam, son of Richard syn Tobyn"		Submitter
54	Thomas MacShane	Thomas MacShane		Submitter
55	William Barrett	William Barret		Submitter
56	Maeduc Carragh Barrett	Mayv Carragh Barret; Maeduc Carragh Barret		Submitter
57	Bernardus O'Brien	Berandus O'Brien; Bernardus O'Brien; Brian O'Brien	Prince of Thomond	Submitter
58	Richard Scrope	Richard Scrope	King's Chamberlain; Knight	Witness
59	William Arundel	William Arundel	Knight	Witness
60	John Melton	John Melton	Clerk of Lincoln diocese	Witness
61	Gerald O'Byrne	Gerald O'Byrne		Submitter
62	Donal O'Nolan	Donal O'Nolan	Captain of his nation	Submitter
63	Edmund Vale	Edmund Vale	Master of the Hospital of St. John of Jerusalem in Ireland	Interpreter; Witness
64	Malachy O'More	Malachy O'More	Captain of his nation	Submitter
65	Lugaidh Og O'More	Lowyoge; Lowyoge O'More; Lughaidh ”g	Son of Maurice Booy/Murchadh Buidhe	Submitter
66	Shane O'More	Shane; Shane O'More	Son of Maurice Booy/Murchadh Buidhe	Submitter
67	Art Og MacMurrough	Arthur MacMourgh; Art ”g MacMurrough	Captain of his nation	Submitter
68	Murchadh O'Conor Faly	Murgh O Conghyr de Faly; Murchadh O'Conor Faly	Captain of his nation	Submitter
69	David Mor MacManus	David Murgh MacManus; David M‹r MacManus		Submitter
70	E. MacGerailt	E. Macgerold; MacGerailt		Submitter
71	Geoffrey O'Brenan	Geoffrey O'Brenan		Submitter
72	Finghin MacGillapatrick	Fennan MacGillapatrick		Submitter
73	Henry Talon	Henry Talon		Submitter
74	Thomas Carragh Kavanagh	Thomas Carragh [Kavanagh]		Submitter
75	Shane O'Nolan	Shane O'Nolan		Submitter
76	Guy Lenfaunt	Guy Lenfaunt		Interpreter
77	Leynagh Fersson O'Conor	Leynagh Fersson O'Conor		Submitter
78	Felim O'Toole	O'Toole		Submitter
79	Lawrence Verkerell	Lawrence Verkerell	Lord of Coytyf	Witness
80	John Greyly	John Greyly	Knight	Witness
81	Galfredo Vale	Galfredo Vale; Alfred Vale	Knight	Witness
82	William Faryndon	William Faryndon; William Faryngdon	Knight	Witness
83	Thomas Clynton	Thomas Clynton	Knight	Witness
84	Nicholas Langford	Nicholas Langford	Knight	Witness
85	Thomas Ilketsale	Thomas Ilketsale	Knight	Witness
86	Thomas Pykworth	Thomas Pykworth	Knight	Witness
87	Alan Penynton	Alan Penynton	Knight	Witness
88	John Brassebrig	John Brassebrig	Knight	Witness
89	Edward Perys	Edward Perys; Edward Perers	Knight	Witness
90	Walter Bytterly	Walter Bytterly	Knight	Witness
91	William Drayton	William Drayton	Knight	Witness
92	John Drayton	John Drayton	Knight	Witness
93	Robert Ley	Robert Ley	Knight	Witness
94	David Wogan	David Wogan	Knight	Witness
95	"James, Earl of Ormond"	James Butler; [Thomas] Butler	Earl of Ormond	Interpreter; Witness
96	William de Burgo	William de Burgo		Submitter
97	Bernard O'Brien	Bernard O'Brien; Brian O'Brien	Son of Tatheus/Taig O'Brien	Submitter
98	Dormicius O'Brien	Dormicius O'Brien; Dermot O'Brien	Son of Tatheus/Taig O'Brien	Submitter
99	Odo O'Kennedy Finn	Odo O'Kennedy Fen; Aedh O'Kennedy Finn		Submitter
100	Thomas O'Kennedy Don	Thomas O'Kennedy Don		Submitter
101	Gerald Tallon	Gerald Tallon		Interpreter
102	Theobald FitzWalter	Theobald FitzWalter	Munster	Submitter
103	David Gall Burke	David Gall Burke	Munster	Submitter
105	Tadhg O'Carroll	Tatheus O'Carrol; Taig O'Carrol	Captain of his nation	Submitter
106	Tadhg O'Kelly	Taig O'Kelly		Submitter
107	William O'Carroll	William O'Carrol		Submitter; Interpreter
108	Thomas Merke	Thomas Merke	Monk of Westminster	Witness
109	Cologh Magennis	Cologh Magennis; C“ Uladh Magennis		Submitter
110	John Faltagh	John Faltagh		Interpreter
111	Adam MacGilmore	Adam MacGilmore		Submitter
112	Philip MacMahon	Philip MacMahon		Submitter
113	Walter Teling	Walter Teling		Interpreter
114	Odo MacMahon	Odo MacMahon; Aedh MacMahon		Submitter
115	MacCabe	MacCabe		Submitter
116	Robert Shortal	Robert Shortal		Witness
117	John Saykyn	John Saykyn		Witness
118	Walter Bermingham	Walter Bermingham		Submitter
119	John Boor	John Boor	Dean of the king's chapel	Witness
120	John Borghulle	John Borghulle	King's confessor	Witness
121	Tuathal O'Kelly	Touhe O'Kelly; Tuathal O'Kelly		Submitter
122	Philip O'Kelly	Philip O'Kelly		Submitter
123	Murchadh Ban O'Farrell	Morgh Bön O'Farrel; Murchadh Bön O'Farrel	"""famous Irishman"""	Submitter
124	Ross O'Farrell	Ross O'Farrel	"""famous Irishman"""	Submitter
125	Melaghlin Mageoghegan	Melaghlin Mageoghegan	"""famous Irishman"""	Submitter
126	Niall O'Molloy	Niall O'Molloy	"""famous Irishman""; son of Rory"	Submitter
127	John Bocombe	John Bocombe		Interpreter
128	William Stormy	William Stormy		Witness
129	John Roche	John Roche		Witness
130	Shane MacMahon	Shane MacMahon		Submitter
131	Hugh Lutterell	Hugh Lutterell		Witness
132	Dermot O'Conor	Dermot O'Conor		Submitter
133	John of Desmond	John	"son of the Earl of Desmond, knight"	Interpreter
134	Cormac O'Melaghlin	Cormac O'Melaghlin		Submitter
135	David Mor O'Murchadha	David More O'Morgh; David More O'Morchoe; David More O'Murchadha		Submitter
136	Gillapatrick Rua O'More	Gillapatrick Rua O'More		Submitter
137	Richard Nelgan	Richard Nelgan		Interpreter
139	Simon Vale	Simon Vale		Interpreter
140	Niall O'Neill	Niall O'Neill senior		Submitter
142	Maurice FitzMaurice	Maurice FitzMaurice	Knight; Lord of his nation	Submitter; Interpreter
143	Donal MacCarthy	Donal MacCarthy; Donal MacCarthy Reagh		Submitter
144	William Wellesley	William Wellesley	Knight	Interpreter
145	Malachy O'Kelly	Malachy O'Kelly		Submitter
146	Turloch O'Brien	Turloch O'Brien	Son of Murchadh O'Brien	Submitter
147	William O'Cormacan	William O'Cormacan	Bishop of Clonfert	Interpreter
148	Thomas O'Dwyer	Thomas O'Dwyer		Submitter
149	Philip O'Kennedy	Philip O'Kennedy	Son of Matthew [Mahon?] Don O'Kennedy	Submitter
150	Thomas Kildare	Thomas Kildare	Mayor of Limerick	Interpreter
151	Nicholas Slake	Nicholas Slake	Archdeacon of Wells	Witness
152	Cormac [Dermot] MacCarthy	"Cormac MacCarthy, son of Dermot MacCarthy"		Submitter
153	Cormac [Donal] MacCarthy	"Cormac MacCarthy, son of Donal MacCarthy"		Submitter
154	John Galwey	John Galwey	Citizen of Waterford	Interpreter
155	Donal Morghysson	Donal Morghysson		Submitter
156	William de Angel	William de Angel	Knight	Witness
157	William Clynton	William Clynton	esquire	Witness
158	Magawley	Magawley	lord	Submitter
159	Muirchertach Mageoghegan	Muirchertach Mageoghegan	lord	Submitter
160	Schynagh	"Schynagh; ""the fox"""	lord	Submitter
161	Thomas MacHegh	Thomas MacHegh; Thomas MacThaidhg	lord	Submitter
162	Conor O'Melaghlin	Conor O'Melaghlin	"""famous Irishman"""	Submitter
163	Gilla-Isa O'Reilly	Gilla-Isa O'Reilly	"""famous Irishman"""	Submitter
164	Maolmuire O'Reilly	Maolmuire O'Reilly	"""famous Irishman"""	Submitter
165	Thomas O'Farrell	Thomas O'Farrel	"""famous Irishman"""	Submitter
