ID,Name,Ob,Fl,SourceYear,Relations,OtherRelations,Notes
61,Dubchablach O'Reilly,1370,,1370,"Daughter of Philip O'Reilly, wife of Philip Maguire",,
62,Philip O'Reilly,,ca 1350?,1370,Father of Dubchablach O'Reilly,,
63,Philip Maguire,,1370,1370,Husband of Dubchablach O'Reilly,,
64,d. Manus MacMahon,1370,,1370,"Daughter of Manus MacMahon, wife of Gillapatrick MacCawell",,
65,Manus MacMahon,,ca 1350?,1370,Father of d. Manus MacMahon,,
66,Gillapatrick MacCawell,,1370,1370,Husband of d. Manus MacMahon,,
67,Joanna Cam MacCarthy,,1371,1371,"Daughter of MacCarthy, wife of MacNamara",,
68,Unknown MacCarthy-1,,ca 1350?,1371,Father of Joanna Cam MacCarthy,,
69,Unknown MacNamara-3,,1371,1371,Husband of Joanna Cam MacCarthy,,
70,Barrduv O'Rourke,1373,,1373,"Daughter of O'Rourke, wife of Donnell MacTiernan",,
71,Unknown O'Rourke-1,,ca 1350?,1373,Father of Barrduv O'Rourke,,
72,Donnell MacTiernan,,1373,1373,Husband of Barrduv O'Rourke,,
73,Sabia O'Conor,1373,,1373,"Daughter of Cathal (Oge?) O'Conor, wife of Flaherty O'Rourke",,BPD makes her daughter of Cathal mac Domhnaill O'Conor - check Book of Magauran
74,Cathal mac Domhnall O'Conor,,ca 1350?,1373,Father of Sabia and Cablaigh Mor O'Conor,,
75,Flaherty O'Rourke,,1373,1373,Husband of Sabia O'Conor,,
76,Mor O'Farrell,1373,,1373,"Daughter of O'Farrell, wife of Diarmait MacRannell",,
77,Unknown O'Farrell-3,,ca 1350?,1373,Father of Mor O'Farrell,,
78,Diarmait MacRannell,,1373,1373,Husband of Mor O'Farrell,,
79,Dubchablach MacRannell,1373,,1373,"Daughter of MacRannell, wife of O'Mulvey",,
80,Unknown MacRannell-1,,ca 1350?,1373,Father of Dubchablach MacRannell,,
81,Unknown O'Mulvey-1,,1373,1373,Husband of Dubchablach MacRannell,,
82,Bebinn O'Dunne,1376,,1376,"Daughter of Donnell O'Dunne, wife of O'Dempsey",,
83,Donnell O'Dunne,,ca 1350?,1376,Father of Bebinn O'Dunne,,
84,Unknown O'Dempsey-1,,1376,1376,Husband of Bebinn O'Dunne,,
85,Finnghuala O'Kelly,1379,,1379,"Daughter of O'Kelly, wife of Mac William Burke",,
86,O'Kelly-3,,ca 1350?,1379,Father of Finnghuala O'Kelly,,
87,Unknown Mac William Burke-1,,1379,1379,Husband of Finnghuala O'Kelly,,
88,Aine MacNamara,1381,,1381,"Daughter of MacNamara, wife of Philip O'Kennedy",,
89,Unknown MacNamara-4,,ca 1360?,1381,Father of Aine MacNamara,,
90,Philip O'Kennedy,,1381,1381,Husband of Aine MacNamara,,
91,Finola O'Kane,1381,,1381,"Daughter of Cooey O'Kane, wife of Turlough MacSweeny",,
92,Cooey O'Kane,,ca 1360?,1381,Father of Finola O'Kane,,
93,Turlough MacSweeny,,1381,1381,"Husband of Finola O'Kane, father of Margaret MacSweeny",,
94,Sabia Burke,1381,,1381,"Daughter of Ulick Burke, wife of O'Conor",,
95,Ulick Burke,,ca 1360?,1381,Father of Sabia Burke,,
96,Unknown O'Conor-2,,1381,1381,Husband of Sabia Burke,,
97,Duvcovla O'Conor Faly,,1381,1381,"Daughter of O'Conor Faly, wife of Donnell mac Theobald O'Molloy",,
98,Unknown O'Conor Faly-1,,ca 1360?,1381,Father of Duvcovla O'Conor Faly,,
99,Donnell mac Theobald O'Molloy,,1381,1381,Husband of Duvcovla O'Conor Faly,,
100,Lasarina O'Duigennan,1381,,1381,"Daughter of Farrell O'Duigennan, wife of O'Meehin",,
101,Farrell O'Duigennan,,ca 1360?,1381,Father of Lasarina O'Duigennan,,
102,Unknown O'Meehin-1,,1381,1381,Husband of Lasarina O'Duigennan,,
103,Dubchablach MacDermot,1381,,1381,"Daughter of Aedh MacDermot, wife of Cathal Roe MacRannell",,
104,Aedh MacDermot,,ca 1360?,1381,Father of Dubchablach MacDermot,,
105,Cathal Roe MacRannell,,1381,1381,Husband of Dubchablach MacDermot,,
106,Lasairfina O'Conor,1381,,1381,"Daughter of Turlough O'Conor-2, wife of MacRannell Dubh",,
107,Turlough O'Conor-2,,ca 1360?,1381,Father of Lasairfina O'Conor and(?) Finnghuala O'Conor,,
108,Unknown MacRannell-2,,1381,1381,Husband of Lasairfina O'Conor,,
109,Raghnailt MacBrady,1381,,1381,"Daughter of MacBrady, wife of MacDarcy",,
110,Unknown MacBrady-1,,ca 1360?,1381,Father of Raghnailt and Aine MacBrady,,
111,Unknown MacDarcy-1,,1381,1381,Husband of Raghnailt MacBrady,,
112,Aine MacBrady,1382,,1382,"Daughter of MacBrady, wife of O'Owen",,
113,Matthew mac Conor O'Owen,,1382,1382,Husband of Aine MacBrady,,
114,More O'Madden,1383,,1383,"Daughter of Murrough O'Madden, wife of Richard Mac William Burke",,
115,Murrough O'Madden,,ca 1360?,1383,Father of More O'Madden,,
116,Richard Mac William Burke,,1383,1383,Husband of More O'Madden,,
117,Joanna Cam Butler,1383,,1383,"Daughter of James Butler, wife of Teige O'Carroll",,
118,James Butler,,ca 1360?,1383,Father of Joanna Cam Butler,,
119,Teige O'Carroll,,1383,1383,Husband of Joanna Cam Butler,,
120,d. O'Brien,1383,,1383,"Daughter of O'Brien, wife of O'Kennedy",,
121,Unknown O'Brien-1,,ca 1360?,1383,Father of d. O'Brien,,
122,Unknown O'Kennedy-1,,1383,1383,Husband of d. O'Brien,,
123,Honora Burke,1383,,1383,"Daughter of William Burke, wife of O'Meagher",,
124,William Burke,,ca 1360?,1383,Father of Honora Burke,,
125,Unknown O'Meagher-1,,1383,1383,Husband of Honora Burke,,
126,Lucy O'Tully,1384,,1384,"Daughter of O'Tully, wife of Maurice MacCraith",,
127,Unknown O'Tully-1,,ca 1360?,1384,Father of Lucy O'Tully,,
128,Maurice MacCraith,,1384,1384,Husband of Lucy O'Tully,,
129,Dervorgilla O'Conor,1385,,1385,"Daughter of Cathal Og O'Conor, wife of O'Conor Roe",,
130,Unknown O'Conor Roe-1,,1385,1385,"Husband of Dervorgilla O'Conor, husband(?) of Grainne MacDermot?",,
131,Beanmidhe MacMahon,1385,,1383,"Daughter of MacMahon, wife of O'Neill Mor",,
132,Unknown MacMahon-1,,ca 1360?,1385,Father of Beanmidhe MacMahon,,
133,Unknown O'Neill-1,,1385,1385,Husband of Beanmidhe MacMahon,,
134,Aine MacDonough,1386,,1386,"Daughter of MacDonough, wife of Tiernan O'Rourke",,
135,Unknown MacDonough-2,,ca 1360?,1386,Father of Aine MacDonough,,
136,Tiernan O'Rourke,,1386,1386,"Husband of Aine MacDonough and Gormlaith O'Conor, father of Sabia O'Rourke",,
137,d. Mac William Burke,,1386,1386,"Daughter of Mac William Burke, wife of O'Farrell",,
138,Unknown Mac William Burke-2,,ca 1360?,1386,Father of d. Mac William Burke,,
139,Unknown O'Farrell-4,,1386,1386,Husband of d. Mac William Burke,,
140,Nualaith O'Farrell,,1387,1387,"Daughter of Murchadh O'Farrell, wife of Thomas mac Cathal O'Farrell",,
141,Murchadh O'Farrell,,ca 1360?,1387,Father of Nualaith O'Farrell,,
142,Thomas mac Cathal O'Farrell,,1387,1387,Husband of Nualaith O'Farrell,,
143,Sadhb O'Neill,1387,,1387,"Daughter of Aedh O'Neill, wife of son of John Bisset",,
144,Unknown Bisset-1,,1387,1387,Husband of Sadhb O'Neill,,
145,Affric O'Neill,1389,,1389,"Daughter of Aedh O'Neill, wife of Henry Aimreidh O'Neill",,
146,Henry Aimreidh O'Neill,,1389,1389,Husband of Affric O'Neill,,
147,d. Butler,1392,,1392,"Daughter of James Butler, wife of Gerald Fitzgerald",,
148,Gerald Fitzgerald,,1392,1392,Husband of d. Butler,,
149,Etain O'Flanagan,1392,,1392,"Daughter of Jeffrey O'Flanagan, wife of William MacBrannan",,
150,Jeffrey O'Flanagan,,ca 1370?,1392,Father of Etain O'Flanagan,,
151,William MacBrannan,,1392,1392,Husband of Etain O'Flanagan,,
152,Edain O'Conor,1393,,1393,"Daughter of Cathal Og O'Conor, wife of Brian mac Mail-Shechlainn O'Kelly",,
153,Brian mac Mail-Shechlainn O'Kelly,,1393,1393,Husband of Edain O'Conor,,
154,Cablaigh Mor,1395,,1395,"Daughter of Cathal mac Donnell O'Conor, consort of Niall O'Donnell, Aedh O'Rourke, and Cathal mac Aedh O'Conor",,
155,Niall O'Donnell,,1395,1395,Consort of Cablaigh Mor O'Conor,,
156,Aedh O'Rourke,,1395,1395,Consort of Cablaigh Mor O'Conor,,
157,Cathal mac Aedh O'Conor,,1395,1395,Consort of Cablaigh Mor O'Conor,,
158,Una O'Conor-2,1395,,1395,"Daughter of Tadhg mac Manus, husband of Aedh Maguire-2",,
159,Tadhg mac Manus O'Conor,,ca 1370?,1395,Father of Una O'Conor,,
160,Aedh Maguire-2,,1395,1395,"Husband of Una O'Conor, father of Una Maguire",,
161,Mary O'Kane,1396,,1396,"Daughter of O'Kane, wife of O'Doherty",,
162,Unknown O'Kane-1,,ca 1370?,1396,Father of Mary O'Kane,,
163,Unknown O'Doherty-1,,1396,1396,Husband of Mary O'Kane,,
164,Finola O'Rourke,1398,,1398,"Daughter of Ualgarg O'Rourke, wife of John More O'Hara",,
165,John More O'Hara,,1398,1398,Husband of Finola O'Rourke,,
166,d. Brian O'Farrell,1398,,1398,"Daughter of Brian O'Farrell, wife of Sionnach",,
167,Brian O'Farrell,,ca 1370?,1398,Father of d. Brian O'Farrell and Finnghuala O'Farrell,,
168,Unknown Sionnach-2,,1398,1398,Husband of d. Brian O'Farrell,,
169,Finnghuala O'Farrell,1400,,1400,"Daughter of Brian O'Farrell, wife of MacSweeny",,
170,Unknown MacSweeny,,1400,1400,Husband of Finnghuala O'Farrell,,
171,Finnghuala O'Conor,1404,,1404,"Daughter of Turlough O'Conor, wife of Mael-Shechlainn O'Kelly",,
172,Mail-Shechlainn O'Kelly,,1404,1404,Husband of Finnghuala O'Conor,,
173,d. O'Conor Faly,1404,,1404,"Daughter of O'Conor Faly, wife of Gillapatrick O'More",,
174,Unknown O'Conor Faly-2,,ca 1380?,1404,Father of d. O'Conor Faly,,
175,Gillapatrick O'More,,1404,1404,Husband of d. O'Conor Faly,,
176,Nualaith O'Conor,1404,,1404,"Daughter of Donnell mac Murtough O'Conor, wife of Farrell mac Conor MacDonough",,
177,Donnell mac Murtough O'Conor,,ca 1380?,1404,Father of Nualaith and Ben Mide O'Conor,,
178,Farrell mac Conor MacDonough,,1404,1404,Husband of Nualaith O'Conor,,
179,d. Donnell O'Brien,1405,,1405,"Daughter of Donnell O'Brien, wife of Philip mac Mahon O'Kennedy Donn",,
180,Donnell O'Brien,,ca 1380?,1405,Father of d. Donnell O'Brien,,
181,Philip mac Mahon O'Kennedy Don,,1405,1405,Husband of d. Donnell O'Brien,,
182,Margaret MacSweeny,1406,,1406,"Daughter of Turlough MacSweeny, wife of John mac Donnell O'Donnell",,
183,John mac Donnell O'Donnell,,1406,1406,Husband of Margaret MacSweeny,,
184,Sabia O'Brien,1410,,1410,"Daughter of Conor O'Brien, wife of Walter Burke",,
185,Conor O'Brien,,ca 1390?,1410,Father of Sabia O'Brien,,
186,Walter Burke-2,,1410,1410,Husband of Sabia O'Brien,,
187,Sadhbh MacMurrough,1411,,1411,"Daughter of MacMurrough, wife of MacGillapatrick",,
188,Unknown MacMurrough-1,,ca 1390?,1411,Father of Sadhbh MacMurrough,,
189,Unknown MacGillapatrick-1,,1411,1411,Husband of Sadhbh MacMurrough,,
190,Benmumhan O'Conor,1411,,1411,"Daughter of Aedh O'Conor, wife of Murchadh mac Cormac MacDonough and Seaan Burke",,
191,Aedh O'Conor,,ca 1390?,1411,Father of Benmumhan O'Conor,,
192,Murchadh mac Cormac MacDonough,,1411,1411,Husband of Benmumhan O'Conor,,
193,Caitilin O'Farrell,1411,,1411,"Daughter of Tomaltach O'Farrell, wife of Maelsechlainn Mor MacOwen",,
194,Tomaltach O'Farrell,,ca 1390?,1411,Father of Caitilin O'Farrell,,
195,Maelsechlainn Mor MacOwen,,1411,1411,Husband of Caitilin O'Farrell,,
196,Joan Fitzgerald,1411,,1411,"Daughter of Gerald Fitzgerald, wife of Tadhg MacCarthy Mor",,
197,Tadhg MacCarthy Mor,,1411,1411,Husband of Joan Fitzgerald,,
198,Sabia O'Rourke,1412,,1412,"Daughter of Tiernan O'Rourke, wife of Edmund mac Thomas O'Farrell",,
199,Edmund mac Thomas O'Farrell,,1412,1412,Husband of Sabia O'Rourke,,
200,Catherine/Catirfina MacDonough,1412,,1412,"Daughter of Maelsechlain mac Maurice MacDonough, wife of MacFirbisigh",,
201,Maelsechlainn mac Maurice MacDonough,,ca 1390?,1412,Father of Catherine/Catirfina MacDonough,,
202,Unknown MacFirbisigh-1,,1412,1412,Husband of Catherine/Catirfina MacDonough,,
203,Bebinn MacDonough,1413,,1413,"Daughter of Ruaidhri mac Tomaltach MacDonough, wife of Owen mac Donnell O'Conor",,
204,Ruaidhri mac Tomaltach MacDonough,,ca 1390?,1413,Father of Bebinn MacDonough,,
205,Owen mac Donnell O'Conor,,1413,1413,Husband of Bebinn MacDonough,,
206,Beanmidhe O'Glennon,1415,,1415,"Daughter of O'Glennon, wife of Gilla-Tigernaigh MacGillamartin",,
207,Unknown O'Glennon-1,,ca 1390?,1415,Father of Beanmidhe O'Glennon,,
208,Gilla-Tigernaigh MacGillamartin,,1415,1415,Husband of Beanmidhe O'Glennon,,
209,Gormlaith O'Neill,1416,,1416,"Daughter of Brian Mor O'Neill, wife of John O'Donnell",,
210,Brian Mor O'Neill,,ca 1390?,1416,Father of Gormlaith O'Neill,,
211,John O'Donnell,1380,,1416,Husband of Gormlaith O'Neill,,Death in Egan
212,Una O'Neill,1417,,1417,"Daughter of Donnell O'Neill, wife of Niall Oge O'Neill",,
213,Donnell O'Neill,,ca 1390?,1417,Father of Una O'Neill,,
214,Niall Oge O'Neill,,1417,1417,Husband of Una O'Neill,,
215,Catirfina O'Rourke,1417,,1417,"Daughter of Cathal O'Rourke, wife of Turlough MacDonnell",,
216,Cathal O'Rourke,,ca 1390?,1417,Father of Catirfina O'Rourke,,
217,Turlough MacDonnell,,1417,1417,Husband of Catirfina O'Rourke,,
218,Ragnailt O'Birn,1417,,1417,"Daughter of Donnchadh O'Birn, wife of Diarmait MacDermot, William mac Walter Burke, and Cumscrach MacRannell",,
219,Donnchadh O'Birn,,ca 1390?,1417,Father of Ragnailt O'Birn,,
220,Diarmait MacDermot,,1417,1417,Husband of Ragnailt O'Birn,,
221,William mac Walter Burke,,1417,1417,Husband of Ragnailt O'Birn,,
222,Cumscrach MacRannell,,1417,1417,Husband of Ragnailt O'Birn,,
223,Grainne MacDermot,1417,,1417,"Daughter of Fergal MacDermot, wife of O'Conor Roe and MacRannell Dubh",,
224,Fergal MacDermot,,ca 1390?,1417,Father of Grainne MacDermot,,
225,Unknown MacRannell Dubh-1,,1417,1417,Husband of Grainne MacDermot,,
226,Lasarina O'Conor,1418,,1418,"Daughter of Cathal mac Aedh Breifneach, wife of Melaghlin mac Flaherty O'Rourke",,
227,Cathal mac Aedh Breifneach,,ca 1390?,1418,Father of Lasarina O'Conor,combining with Cathal mac Aedh O'Conor (157),
228,Melaghlin mac Flaherty O'Rourke,,1418,1418,Husband of Lasarina O'Conor,,
229,Finnguala MacRannell,1418,,1418,"Daughter of MacRannell, wife of Richard mac Thomas O'Reilly",,
230,Unknown MacRannell-3,,ca 1390?,1418,Father of Finnguala MacRannell,,
231,Richard mac Thomas O'Reilly,,1418,1418,Husband of Finnguala MacRannell,,
232,Lasarfina O'Hanley,1419,,1419,"Daughter of Aedh O'Hanley, wife of Murchadh mac Tomas O'Birn",,
233,Aedh O'Hanley,,ca 1390?,1419,Father of Lasarfina O'Hanley,,
234,Murchadh mac Tomas O'Birn,,1419,1419,Husband of Lasarfina O'Hanley,,
235,d. O'Broin,1419,,1419,"Daughter of O'Broin, wife of Donnell Finn MacHerbert",,
236,Unknown O'Broin,,ca 1390?,1419,Father of d. O'Broin,,
237,Donnell Finn MacHerbert,,1419,1419,Husband of d. O'Broin,,
238,Anabla MacJordan d'Exeter,1419,,1419,"Daughter of MacJordan d'Exeter, wife of Uilliam mac Maelsechlainn O'Kelly",,
239,Unknown MacJordan d'Exeter-1,,ca 1390?,1419,Father of Anabla MacJordan d'Exeter,,
240,Uilliam mac Maelsechlainn O'Kelly,,1419,1419,Husband of Anabla MacJordan d'Exeter and Mary Burke,,
241,Mary Burke,1435,1419,1419,"Daughter of Burke, wife of Uilliam mac Jordan d'Exeter and James(?) Fitzgerald",,Death in AU1435.3
242,Unknown Burke,,ca 1390?,1419,Father of Mary Burke,,
243,James(?) Fitzgerald,,1419,1419,Husband of Mary Burke,,
244,Mor O'Durnin,1420,,1420,"Daughter of O'Durnin, wife of Tomaltach O'Birn",,
245,Unknown O'Durnin,,ca 1400?,1420,Father of Mor O'Durnin,,
246,Tomaltach O'Birn,,1420,1420,Husband of Mor O'Durnin,,
247,Mor O'Brien,1421,,1421,"Daughter of Brian O'Brien, wife of Walter Burke, Tadhg O'Carroll",,
248,Brian O'Brien,,ca 1400?,1421,Father of Mor O'Brien,,
249,Walter Burke-3?,,1421,1421,"Husband of Mor O'Brien (possibly = Walter Burke-2), father of d. Walter Burke?",,
250,Tadhg O'Carroll-2,,1421,1421,Husband of Mor O'Brien (possibly = Teige O'Carroll,,
251,d. Walter Burke,1421,,1421,"Daughter of Walter Burke, wife of Conor O'Brien",,
252,Conor O'Brien-2,,1421,1421,Husband of d. Walter Burke father of Ragnailt Dub O'Brien,,
253,Ragnailt Dub O'Brien,1421,,1421,"Daughter of Conor O'Brien, wife of O'Flaherty",,
254,Unknown O'Flaherty-1,,1421,1421,Husband of Ragnailt Dub O'Brien,,
255,Ben Mide O'Conor,1422,,1422,"Daughter of Donnell mac Murtough O'Conor, wife of Thomas Barrett",,
256,Thomas Barrett,,1422,1422,Husband of Ben Mide O'Conor,,
257,Gormlaith O'Conor,1425,,1425,"Daughter of Donnell O'Conor, wife of Tighernan O'Rourke",,
258,Donnell O'Conor,,ca 1400?,1425,Father of Gormlaith O'Conor (possibly = Donnell mac Murtough O'Conor?),,
259,Una Maguire,1427,,1427,"Daughter of Aedh Maguire, wife of Tadhg O'Rourke",,
260,Tadhg O'Rourke,,ca 1400?,1427,Husband of Una Maguire,,
261,Aine O'Birn,1427,,1427,"Daughter of Cormac O'Birn, wife of Geoffrey MacRannell",,
262,Cormac O'Birn,,ca 1400?,1427,Father of Aine O'Birn,,
263,Geoffrey MacRannell,,1427,1427,Husband of Aine O'Birn,,
264,Joan MacCawell,1427,,1427,"Daughter of MacCawell, wife of Maurice Maguire",,
265,Unknown MacCawell-1,,ca 1400?,1427,Father of Joan MacCawell,,
266,Maurice Maguire,,1427,1427,Husband of Joan MacCawell,,
267,Catherine MacMahon,1427,,1427,"Daughter of Ardghal MacMahon, wife of Eogan mac Niall Og O'Neill",,
268,Ardghal MacMahon,,ca 1400?,1427,Father of Catherine MacMahon,,
269,Eogan mac Niall Og O'Neill,,1427,1427,Husband of Catherine MacMahon,,
270,Grainne O'Neill,1429,,1429,"Daughter of Niall Mor O'Neill, wife of Turlough an Fhiona O'Donnell",,
271,Niall Mor O'Neill,,ca 1400?,1429,Father of Grainne O'Neill,,
272,Turlough an Fhiona O'Donnell,,1429,1429,Husband of Grainne O'Neill,,
273,Barrdubh O'Rourke,1431,,1431,"Daughter of O'Rourke, wife of Eogan O'Reilly",,
274,Unknown O'Rourke-2,,ca 1410?,1431,Father of Barrdubh and Aine(?) O'Rourke,,
275,Eogan O'Reilly,,1431,1431,Husband of Barredubh O'Rourke,,
276,Aine O'Rourke,1431,,1431,"Daughter of O'Rourke, wife of O'Farrell",,
277,Unknown O'Farrell-5,,1431,1431,Husband of Aine O'Rourke,,
278,Una O'Reilly,,1433,1433,"Daughter of John O'Reilly, wife of Mathgamain MacCabe",,
279,John O'Reilly,,ca 1410?,1433,Father of Una O'Reilly,combining with Eogan O'Reilly (275),
280,Mathgamain MacCabe,,1433,1433,Husband of Una O'Reilly,,
281,d. O'Conor Faly-2,,1433,1433,"Daughter of O'Conor Faly, wife of O'Donnell",,
282,Unknown O'Conor Faly-3,,ca 1410?,1433,Father of d. O'Conor Faly-2,,
283,Unknown O'Donnell-3,,1433,1433,Husband of d. O'Conor Faly-2,,
284,Margaret O'Carroll,,1433,1433,"Daughter of O'Carroll, wife of Calvagh O'Conor Faly",,
285,Unknown O'Carroll-1,,ca 1410?,1433,Father of Margaret O'Carroll,,
286,Calvagh O'Conor Faly,,1433,1433,"Husband of Margaret O'Carroll, father of Finola O'Conor Faly",,
287,Ben Muman MacDermot,1436,,1436,"Daughter of Conor MacDermot, wife of Sean MacDonough",,
