DocID	LocationText	SubmissionCoordinates	Date	SubmitterID	Origin Coordinates	Notes	InterpreterID	Interpreter Coord
NI22	O'Brenans cross near Castlecomer	"52.75435526930308, -7.233432388026526"	1395-04-14	67	"52.590900115704486, -6.500068251353481"			
NI23	"Aboard the ship the Trinity, in the port of Waterford"	"52.259967122054654, -7.035138093268444"	1395-05-01	43; 96; 118	"53.722734056115634, -8.415850491520471; 53.29989540496307, -8.74539918683801"	Need to verify location of medieval port; Loughrea is not a certain id for Burke base - inferred from FitzPatrick in Gaelic Ireland		
NI24	Franciscan church at Castledermot	"52.90857225717626, -6.836974246222986"	1395-03-29	64; 121; 122; 78	"53.032003403834636, -7.210730631050135; 53.18463122519382, -6.1872523309723855"		76	
NI25	Drogheda Dominican priory	"53.71799324577726, -6.351336075629299"	1395-03-14	123; 124; 125; 126			127	
NI26	Drogheda Dominican priory	"53.71799324577726, -6.351336075629299"	1395-03-10	130			50	
NI27	Kilkenny Dominican priory	"52.653899031468974, -7.257574029379863"	1395-04-16	132; 134			133	
NI28a	Meadow between Carlow castle and the river	"52.83629323692305, -6.936742953013918"	1395-03-30	74; 135; 136	"52.590900115704486, -6.500068251353481; 53.032003403834636, -7.210730631050135"	location of meadow is somewhat ambiguous - I chose the bank of the Barrow rather than the Burren for both proximity and size and then indicated a location in the most direct line from castle to river	137	
NI28b	Door ofchurch of the Carmelites at Leighlin bridge	"52.7369175458268, -7.023268375122851"	1395-03-30	62			139	
NI29	Drogheda Dominican priory	"53.71799324577726, -6.351336075629299"	1395-01-19	140; 46	"54.5063072522902, -6.768650213215768"			
NI30	Kilkenny Dominican priory	"52.653899031468974, -7.257574029379863"	1395-04-06	44; 143	"51.94903099242467, -10.258605292800087; 51.67552178247685, -8.679032758580476"		142	"52.402309862021305, -9.628663487621754"
NI31	Great hall within the abbey of Conall	"53.17261952014167, -6.774913159705478"	1395-03-28	68	"53.21965782033275, -7.0021621740278945"		144	
NI32	Drogheda Dominican priory	"53.71799324577726, -6.351336075629299"	1395-03-21	145				
NI33a	Kilkenny Dominican priory	"52.653899031468974, -7.257574029379863"	1395-04-25	146			147	"53.240746466431645, -8.058324987023699"
NI33b	Kilkenny Dominican priory	"52.653899031468974, -7.257574029379863"	1395-04-25	148; 149; 126	"52.865144995499804, -8.19816891618452"		150	"52.669900149141625, -8.625543760062053"
NI34	Kilkenny Dominican priory	"52.653899031468974, -7.257574029379863"	1395-04-21	43	"53.722734056115634, -8.415850491520471"			
NI35a	Kilkenny Dominican priory	"52.653899031468974, -7.257574029379863"	1395-04-06	152	"51.90520051539335, -8.96220776599217"		9	"51.499673068298016, -0.12474482944096953"
NI35b	Kilkenny Dominican priory	"52.653899031468974, -7.257574029379863"	1395-04-06	153	"51.67552178247685, -8.679032758580476"		154	"52.26060981564144, -7.105420502725048"
NI36	"Monastery of St. Thomas Martyr, Dublin"	"53.34189533431597, -6.280755924061299"	1395-02-02	155				
NI37	Drogheda Dominican priory	"53.71799324577726, -6.351336075629299"	1395-03-14	158; 159; 160; 161	"53.443415225674656, -7.489401350912528"		127	
NI38	Drogheda Dominican priory	"53.71799324577726, -6.351336075629299"	1395-03-14	162; 163; 164; 165			127	
